,IVA
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,20.15
1307,41.79
1308,84.78
1309,538.28
1312,8.83
1313,0.0
1314,0.0
1315,89.5
1316,30.29
1317,12.77
1318,0.0
1319,100.48
1321,13.91
1322,15.22
1324,275.86
1325,622.08
1327,12.68
1328,646.2
1329,26.5
1330,186.21
1331,262.07
1332,78.4
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,192.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,149.82
1347,16.0
1348,41.77
1349,137.76
1350,48.0
1351,0.0
1352,560.0
1353,200.0
1354,28.8
1355,6.0
1356,864.0
1357,46.63
1358,46.63
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1363,2.5
1364,633.6
1365,470.4
1366,0.0
1367,0.0
1368,0.0
1369,717.6
1370,496.89
1371,0.0
1374,0.0
1375,253.93
1376,19.5
1378,75.96
1379,67.17
1380,9.19
1381,0.0
1382,0.0
1386,274.7
1387,382.03
1388,85.46
1389,39.43
1390,146.57
1392,413.6
1393,96.0
1394,0.0
1395,0.0
1396,0.0
1397,48.0
1398,739.2
1399,38.06
1400,5.88
1401,0.0
1402,202.56
1403,182.26
1404,0.0
1405,448.0
1406,723.14
1407,131.04
1408,0.0
1409,0.0
1410,16.14
1411,258.54
1412,507.16
1413,320.0
1415,313.6
1416,239.19
1417,1.91
1418,2.73
1419,339.81
1421,272.86
1422,56.0
1423,39.74
1424,0.0
1425,596.29
1427,0.0
1428,0.0
1429,177.6
1430,862.4
1431,96.0
1432,2.28
1433,0.0
1434,155.54
1435,262.0
1437,0.0
1438,0.0
1439,48.0
1440,0.0
1441,624.13
1442,646.02
1443,404.1
1444,156.8
1446,640.0
1447,4.78
1449,281.25
1450,529.12
1451,113.16
1452,590.93
1453,451.2
1454,0.0
1455,459.2
1456,216.0
1457,0.0
1458,0.0
1459,2.1
1460,223.1
1461,0.0
1462,0.0
1463,0.0
1464,438.19
1465,736.44
1467,663.68
1468,0.0
1469,120.33
1470,234.88
1471,0.0
1472,0.0
1473,0.0
1475,1042.76
1476,37.99
1477,30.09
1478,0.0
1480,979.2
1481,70.34
1482,303.45
1483,0.0
1484,62.56
1485,0.0
1486,0.0
1487,31.32
1488,0.0
1489,364.8
1490,0.0
1491,605.95
1492,35.21
1493,68.64
1494,0.0
1495,48.0
1496,176.0
1498,456.0
1499,44.63
1501,62.09
1502,380.16
1503,20.25
1504,28.8
1505,83.2
1506,42.76
1507,42.76
1508,36.84
1509,0.0
1510,789.6
1511,543.2
1512,11.63
1513,13.54
1514,49.04
1515,0.0
1516,0.0
1517,0.0
1518,826.96
1519,1184.9
1522,0.0
1523,0.0
1524,960.0
1525,35.2
1526,200.53
1527,17.68
1528,225.34
1529,12.77
1530,236.95
1532,170.96
1533,62.4
1535,11.04
1536,240.0
1537,345.41
1538,0.0
1539,160.0
1540,1.53
1541,0.0
1542,683.03
1543,0.0
1544,258.06
1545,324.14
1546,0.0
1547,0.0
1548,864.0
1549,864.0
1550,48.0
1552,40.39
1553,30.34
1554,313.6
1555,646.2
1556,149.4
1557,240.0
1558,278.89
1559,0.0
1561,68.48
1562,0.0
1563,0.0
1565,26.18
1566,8.21
1567,3.03
1569,64.0
1570,116.48
1571,0.0
1572,0.0
1573,726.24
1574,669.96
1575,237.32
1576,43.83
1578,0.0
1579,32.48
1580,19.72
1581,3.03
1582,26.41
1583,0.0
1584,768.11
1585,475.2
1586,53.76
1587,89.86
1588,11.03
1589,78.4
1590,16.8
1591,899.84
1593,29.02
1594,325.59
1595,0.0
1596,0.0
1598,1001.6
1599,413.6
1600,147.2
1601,48.04
1602,0.0
1603,61.87
1604,75.73
1605,569.4
1606,765.76
1607,765.76
1608,162.11
1610,0.0
1611,800.0
1612,312.0
1613,0.0
1614,0.64
1615,249.6
1616,0.0
1617,398.38
1618,0.0
1619,0.0
1620,96.28
1621,0.0
1622,872.3
1623,0.0
1624,960.0
1625,160.0
1626,262.07
1627,32.63
1629,28.36
1630,2.21
1631,519.35
1632,7.31
1633,0.0
1634,0.0
1635,62.4
1636,24.55
1637,87.4
1638,128.0
1639,0.0
1640,824.82
1641,12.06
1642,3.03
1643,0.0
1644,18.0
1646,0.0
1647,182.26
1648,102.4
1649,979.56
1651,0.0
1652,0.0
1653,0.0
1654,340.8
1655,76.16
1656,240.0
1657,720.0
1658,470.12
1659,83.33
1660,386.38
1661,11.48
1662,21.72
1663,82.67
1665,0.0
1666,0.0
1668,48.0
1669,0.0
1670,26.79
1672,82.62
1673,0.0
1674,0.0
1675,0.0
1676,30.09
1677,88.79
1678,88.0
1679,48.0
1680,523.1
1683,120.0
1684,0.0
1685,0.0
1686,0.0
1687,26.19
1688,0.0
1689,34.58
1690,816.64
1692,381.38
1693,1133.96
1694,318.24
1695,14.32
1696,740.31
1697,17.92
1698,278.62
1699,960.0
1700,70.24
1701,824.96
1702,84.86
1703,0.0
1705,93.78
1706,25.6
1707,251.81
1708,251.81
1709,251.81
1710,224.84
1711,224.84
1712,251.81
1713,251.81
1714,251.81
1715,224.84
1716,251.81
1717,251.81
1718,251.81
1719,224.84
1720,224.84
1721,-224.84
1722,-251.81
1723,-224.84
1724,-251.81
1725,-251.81
1726,-251.81
1727,-224.84
1728,-251.81
1729,-251.81
1730,-224.84
1731,-224.84
1732,-251.81
1733,-251.81
1734,-251.81
1735,689.66
1736,331.2
1737,192.0
1738,638.33
1739,55.36
1741,979.71
1742,320.0
1744,307.8
1746,100.35
1747,499.45
1748,61.45
1749,24.0
1750,400.0
1751,200.0
1752,249.6
1754,1051.2
1755,185.09
1756,947.28
1757,184.8
1758,105.2
1759,48.0
1760,0.0
1761,40.19
1762,20.1
1763,26.79
1764,17.66
1765,0.0
1766,200.0
1767,42.12
1768,0.0
1769,0.0
1770,28.97
1771,0.0
1772,24.79
1773,4.97
1774,36.84
1775,23.45
1776,208.8
1777,275.2
1779,40.19
1780,73.21
1781,40.4
1782,316.8
1783,53.98
1784,199.46
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,794.11
1791,527.69
1792,192.0
1793,230.03
1794,1.48
1795,12.55
1796,42.24
1797,160.0
1799,17.46
1800,898.62
1801,945.82
1802,0.0
1803,0.0
1804,207.36
1805,57.6
1806,127.52
1807,264.16
1808,1.05
1809,249.6
1810,55.03
1811,0.0
1812,952.01
1813,1172.8
1814,498.88
1815,627.2
1816,64.0
1817,1047.34
1819,0.0
1820,213.63
1821,86.35
1823,69.76
1824,240.0
1825,596.0
1827,49.51
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,229.89
1841,0.0
1842,0.0
1843,0.0
1844,724.87
1845,759.66
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1853,105.6
1854,416.0
1855,0.0
1856,180.72
1860,13.47
1861,10.76
1862,544.83
1863,0.0
1864,40.4
1865,66.98
1866,50.06
1867,40.38
1868,26.09
1869,217.22
1870,1129.08
1871,564.54
1872,246.4
1873,16.56
1874,0.0
1875,0.0
1876,47.08
1877,48.0
1878,48.0
1879,291.87
1880,0.0
1881,0.0
1882,64.33
1883,32.0
1884,2.53
1885,560.0
1886,134.4
1888,37.44
1889,0.0
1890,128.83
1891,6.34
1892,205.44
1893,532.44
1894,121.54
1895,242.4
1896,194.58
1897,240.0
1898,27.84
1899,104.0
1900,45.77
1901,39.26
1902,288.0
1903,28.56
1904,646.2
1905,253.82
1906,86.4
1907,1021.19
1909,203.07
1910,971.69
1912,-194.58
1913,408.01
1914,32.0
1917,97.29
1918,-97.29
1919,0.0
1920,0.0
1921,76.56
1923,2.94
1924,563.51
1925,0.0
1926,2.48
1927,0.0
1929,0.0
1930,78.4
1931,69.6
1933,888.22
1934,888.32
1935,251.81
1936,-251.81
1937,200.0
1938,360.8
1939,48.32
1940,33.6
1941,960.0
1942,159.2
1943,0.0
1944,38.46
1945,82.52
1946,0.0
1947,143.79
1948,109.3
1949,100.8
1950,384.0
1951,511.63
1952,61.92
1953,0.0
1954,0.0
1955,78.4
1956,69.6
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,165.38
1963,206.62
1966,0.0
1967,40.4
1968,0.0
1969,0.0
1970,230.27
1971,0.0
1972,560.32
1973,25.6
1974,10.56
1975,75.73
1976,353.03
1977,331.55
1978,16.17
1979,800.0
1980,80.0
1981,0.0
1982,25.75
1983,395.68
1984,853.6
1985,30.02
1986,1021.68
1989,400.0
1990,63.2
1991,329.32
1992,6.37
1993,43.2
1994,40.41
1995,140.8
1996,32.63
1998,0.0
1999,0.0
2000,0.0
2001,41.98
2002,29.12
2003,0.0
2004,6.9
2005,24.56
2006,605.95
2007,60.69
2008,0.0
2009,8.4
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,45.32
2015,182.26
2016,947.28
2017,0.0
2018,0.0
2019,713.89
2020,38.9
2021,68.88
2022,114.08
2023,0.0
2024,208.0
2025,0.0
2026,87.17
2027,25.57
2028,275.72
2029,0.0
2031,0.0
2032,132.41
2033,0.0
2034,0.0
2036,0.0
2037,376.0
2038,3.16
2039,14.22
2040,46.8
2041,25.28
2042,259.57
2043,651.66
2044,0.0
2045,55.03
2047,12.66
2048,46.4
2049,1018.71
2050,811.81
2052,156.8
2053,997.6
2054,270.08
2055,38.7
2056,885.6
2058,156.92
2060,0.0
2061,0.0
2062,320.0
2063,689.66
2066,26.94
2067,24.52
2068,39.22
2069,1190.02
2070,0.0
2071,0.0
2072,0.0
2073,446.08
2074,0.0
2075,0.0
2076,41.38
2077,0.0
2078,0.0
2079,560.52
2080,0.0
2081,266.07
2083,0.0
2084,3.37
2085,144.0
2086,17.44
2087,56.32
2088,0.0
2089,572.98
2090,127.61
2092,256.0
2093,114.4
2094,60.61
2095,40.19
2096,98.88
2097,3.95
2098,705.22
2100,560.52
2101,896.58
2102,0.0
2103,944.29
2104,1118.84
2106,20.22
2107,262.07
2108,0.0
2109,284.18
2110,17.22
2113,0.0
2114,0.0
2116,0.0
2117,35.56
2118,55.03
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2124,283.2
2125,94.28
2126,37.97
2128,0.0
2129,0.0
2130,0.0
2131,0.0
2132,384.32
2133,0.0
2135,40.4
2136,10.12
2137,280.0
2138,6.74
2139,192.79
2140,0.0
2141,790.4
2142,790.4
2143,111.44
2144,73.11
2145,5.91
2146,335.7
2147,520.0
2148,20.69
2149,1039.95
2150,24.55
2152,96.0
2153,22.14
2154,0.0
2155,202.0
2156,115.33
2157,28.56
2160,128.48
2162,0.0
2163,0.0
2164,244.62
2165,400.0
2166,50.55
2167,497.92
2169,48.0
2170,67.34
2171,53.39
2172,22.29
2173,195.61
2174,41.92
2175,691.06
2176,18.08
2177,36.96
2178,0.0
2180,800.0
2181,0.0
2182,636.31
2183,388.25
2184,107.33
2185,403.96
2186,0.0
2187,520.2
2188,0.0
2189,393.1
2191,316.8
2192,0.0
2193,0.0
2195,0.0
2196,7.41
2197,78.4
2198,0.0
2199,770.76
2200,0.0
2201,0.0
2202,0.0
2203,79.38
2204,26.88
2205,88.8
2206,312.0
2207,208.0
2208,17.86
2209,107.14
2210,0.0
2211,8.05
2212,17.6
2213,896.0
2214,199.92
2215,345.6
2216,888.22
2217,888.32
2218,94.81
2219,0.0
2220,0.0
2221,0.0
2222,0.0
2223,746.24
2224,0.0
2225,13.24
2226,86.91
2227,403.2
2228,48.0
2229,204.0
2230,136.0
2231,0.0
2232,23.86
2234,0.0
2235,0.0
2236,1111.92
2238,1176.0
2239,0.0
2240,896.41
2241,-107.14
2242,-17.86
2243,28.73
2244,0.0
2245,274.06
2246,29.16
2247,7.31
2248,33.28
2249,95.04
2250,75.73
2251,353.37
2255,0.0
2256,517.44
2257,48.0
2258,0.0
2259,0.0
2260,422.06
2261,456.0
2262,58.62
2263,0.0
2264,34.48
2265,48.28
2266,165.52
2267,56.81
2268,63.17
2270,979.82
2271,0.0
2272,800.0
2273,616.8
2274,12.74
2275,2.43
2276,152.8
2277,13.3
2278,102.4
2279,0.0
2280,915.2
2281,53.12
2282,193.19
2283,62.4
2284,711.94
2285,265.42
2286,101.07
2288,572.41
2290,0.0
2291,76.8
2292,134.72
2293,26.94
2294,29.72
2295,432.0
2296,3.03
2297,42.12
2298,528.0
2299,0.0
2300,54.92
2301,275.67
2302,14.94
2304,19.3
2305,458.4
2306,58.01
2307,137.13
2308,920.73
2309,20.28
2310,78.27
2312,0.0
2313,0.0
2315,23.4
2316,317.24
2317,1065.6
2318,0.0
2319,0.0
2320,22.1
2321,431.97
2322,62.72
2324,1190.02
2325,59.4
2326,723.84
2327,264.31
2328,0.0
2329,0.0
2330,3.35
2331,576.0
2332,50.4
2333,0.0
2334,0.0
2335,0.0
2336,943.84
2337,589.76
2338,364.0
2339,12.84
2340,578.3
2341,23.04
2342,55.03
2343,320.0
2344,264.83
2345,0.0
2346,0.0
2348,960.0
2349,353.6
2350,28.57
2351,10.71
2352,60.22
2353,42.63
2354,0.0
2355,31.68
2356,216.0
2357,4.11
2358,47.59
2360,26.27
2361,144.0
2362,0.0
2363,0.0
2364,0.56
2365,141.6
2366,0.0
2367,0.0
2368,256.96
2369,525.89
2370,89.6
2371,10.19
2373,672.0
2375,0.0
2376,0.0
2377,291.35
2378,9.96
2379,130.4
